strategy,stats_down_beta,stats_pricechange_modsharpe,stats_profit_factor,stats_recovery_factor,stats_up_beta,rating,stats_betas_ratio,stats_betas_difference
"(1, 400, 3, 0.05, 1, 2, 50)",0.12792700481158178,-0.008143990816505275,0.866279335446011,-0.2595324462558677,0.054400537850958504,2.0,0.3967440224010889,-0.07352646696062327
"(1, 500, 2, 0.05, 1, 2, 30)",0.05922993798574495,0.006628118244866659,0.9768745746621769,0.18205877893005296,0.005045138005281828,2.0,0.07782739184510205,-0.05418479998046312
"(1, 500, 2, 0.05, 1, 2, 50)",0.047084898253846014,0.0054015890445756306,0.967886526053953,0.17968334275304187,0.008440728264203905,2.0,0.16461709037856173,-0.0386441699896421
"(1, 500, 2, 0.05, 1, 5, 50)",0.004973087194950899,-0.0009223983045976734,0.2715987322253207,-0.06707505749394574,0.017117367175342898,2.0,0.9598275861349495,0.012144279980391998
"(1, 600, 3, 0.05, 1, 5, 50)",0.0013424272448304066,-0.006857955418521719,0.2552580395024155,-0.15326897049830857,0.004158424236980997,1.0,0.9546087680076835,0.0028159969921505903
"(1, 700, 2, 0.05, 1, 0, 50)",-0.4040121794520021,0.010154443357638154,0.5750147206349293,0.5745354550906862,0.014740784606236812,3.0,-0.01915182479671127,0.4187529640582389
"(1, 700, 2, 0.05, 1, 3, 30)",-0.6995485210877019,-0.0009888637406673148,0.11340823997679543,-0.033664837590828334,0.005156065735317884,1.0,-0.0009994521450572284,0.7047045868230198
"(1, 700, 3, 0.05, 1, 6, 40)",0.038289464853654594,-0.007629204976138019,0.451180413616864,-0.21243444393404098,0.06067254814414653,2.0,0.8634821324125418,0.022383083290491938
"(1, 800, 2, 0.05, 1, 1, 40)",0.02429599710628946,-0.015436896056316762,0.7063892552275167,-0.43994588556934333,0.017337435624836882,3.0,0.5534295225071948,-0.0069585614814525795
"(1, 800, 2, 0.05, 1, 5, 50)",0.010011134595116029,-0.016656945383608953,0.8036987202400686,-0.4467225050996314,0.004173342537617905,3.0,0.39252795731329604,-0.005837792057498125
"(1, 900, 2, 0.05, 1, 4, 40)",-0.6897509130260026,0.0019846727066616335,0.3743779858691243,0.06972252495356165,-0.08055794170209295,1.0,0.040174295052799104,0.6091929713239096
"(1, 900, 3, 0.05, 1, 0, 40)",-0.07182715986587988,-0.01645973258978251,0.8597548577690712,-0.45218012445833466,0.015129154909963452,2.0,-0.20768814094289964,0.08695631477584333
"(1, 900, 3, 0.05, 1, 1, 40)",-0.1779873894674996,4.4335656354973195e-05,0.21027783786338167,0.0029025481163133774,-0.568092355897219,2.0,0.670212267629326,-0.3901049664297193
"(1, 900, 3, 0.05, 1, 4, 40)",0.023417447470949166,-0.009741153302480867,0.5371469153789121,-0.37866219476114776,0.02257058290830496,2.0,0.7529506745142509,-0.0008468645626442029
"(1, 500, 7, 4, 20)",-0.7129388961408957,0.0034621995734648876,0.3538515525205481,0.21186906711630568,-0.18322666343249933,5.0,0.08625346977402419,0.5297122327083963
"(1, 600, 5, 4, 20)",-0.019268568887969694,-0.015335465160370017,0.7308429686772376,-0.38600679544500494,-0.013367913778453347,4.0,0.5621808747344,0.005900655109516348
"(1, 600, 8, 0, 20)",-0.11219200724656582,-0.0022585834036234413,0.8733254961531524,-0.06292048103701504,-0.058577423814101366,4.0,0.4630827194018178,0.053614583432464454
"(1, 700, 3, 4, 20)",-0.037992100409231004,0.011846661581431394,0.314249984902899,0.9296862985174512,-0.029117557142859983,5.0,0.18552628008226696,0.008874543266371023
"(1, 700, 4, 4, 20)",-0.037992100409231004,0.011846661581431394,0.314249984902899,0.9296862985174512,-0.029117557142859983,5.0,0.18552628008226696,0.008874543266371023
"(1, 700, 5, 2, 20)",0.0024344055930437636,-0.006802308767996731,0.2478989645147526,-0.18435572345007123,0.007481244236092457,2.0,0.9510128460188846,0.005046838643048693
"(1, 700, 6, 3, 20)",0.0018657964005542374,-0.022737876266063457,0.2988241485369054,-0.38145358678639557,0.003821212622441955,1.0,0.8744474666023004,0.0019554162218877176
"(1, 700, 8, 0, 20)",-0.07465518392061897,0.014351965113963108,0.6937161455752859,0.6576762633156885,0.032519957035512,5.0,-0.2605693923043728,0.10717514095613097
"(1, 800, 5, 2, 20)",0.001481438872976854,0.0004466974197455385,0.13034930942411385,0.01868733458678564,0.011598524468986949,4.0,0.9911713099500834,0.010117085596010093
"(1, 800, 6, 1, 20)",-0.023716041893318288,-0.0029479957818163535,0.483451989003833,-0.10533844431948626,-0.04078528904845566,4.0,0.8675552121641387,-0.017069247155137367
"(1, 15, 13, 26, 60, 5, 20)",-0.4482921103825156,-0.0021655754211313888,0.7879360890677249,-0.07695061100807159,-0.042299886823139024,3.0,0.07513887839255613,0.40599222355937653
"(1, 20, 13, 26, 60, 12, 20)",0.034653927626327574,-0.006403634962582211,0.39067178745002795,-0.2783031667428696,0.07211804592355532,3.0,0.872969889471112,0.03746411829722775
"(1, 20, 13, 26, 60, 12, 30)",-0.7021716967139721,-0.00023517586809505297,0.033552601117760976,-0.011547379123158404,0.008895398844366915,3.0,-0.00043762241584405546,0.7110670955583389
"(1, 25, 13, 26, 60, 1, 20)",-0.11552248265542439,0.004179239603832112,0.8029946118489496,0.15115906748857355,-0.08194899713732676,4.0,0.5578036057192112,0.03357348551809764
"(1, 25, 13, 26, 60, 2, 20)",-4.237055131968682e-05,0.00039862255284082667,0.042314469080483814,0.01980129943043789,0.0010443530651922737,4.0,-0.9989068835034406,0.0010867236165119606
"(1, 30, 13, 26, 60, 12, 20)",0.45396983016556025,-0.00883066446114759,0.6860641096617398,-0.38076125965520013,0.03801231122353898,3.0,0.06086641007566904,-0.41595751894202126
"(1, 30, 13, 26, 60, 12, 30)",0.5011907217681613,-0.004529923353909595,0.7131222019508763,-0.2231052888347111,0.12333223847029309,3.0,0.18022269818303246,-0.37785848329786814
"(1, 30, 13, 26, 60, 2, 30)",0.06377814412247786,-0.006605043943280546,0.7234410828832484,-0.40895833923655184,0.046798783852908456,4.0,0.5502693642636477,-0.016979360269569404
"(1, 35, 13, 26, 60, 11, 20)",0.09513291140921225,0.00918900978562209,0.7303631948307411,0.6382344639092957,0.029504288825330467,5.0,0.21192933921396376,-0.06562862258388177
"(1, 35, 13, 26, 60, 8, 20)",-0.013573376898385446,0.004001876539657315,0.9713075739511675,0.22435042629908875,0.0010905652223914388,4.0,-0.07623654568003704,0.014663942120776884
"(1, 40, 13, 26, 60, 12, 20)",-0.026884741666811617,-0.007781265605589732,0.809199070026413,-0.3621280593025589,0.014617269176740269,1.0,-0.4597180819186812,0.04150201084355188
"(1, 40, 13, 26, 60, 15, 20)",-0.2822118789027706,0.007663605031961316,0.3008971104717357,0.721148879986169,-0.4183971811984918,5.0,0.3407349535523404,-0.1361853022957212
"(1, 40, 13, 26, 60, 2, 30)",0.18126632860310246,-0.004734145883991345,0.8843474945124363,-0.31978989696386684,0.05041574454449867,2.0,0.25123776404128245,-0.1308505840586038
"(1, 45, 13, 26, 60, 14, 20)",0.02527300260450669,0.010649262898298446,0.5546798017336869,0.7405988897263899,0.02072940663000815,5.0,0.37767859094762085,-0.004543595974498544
"(1, 45, 13, 26, 60, 6, 30)",0.014511757329418402,-0.02067933921635588,0.6675129852221116,-0.6353600347366719,0.00754544412418238,3.0,0.3872987882776845,-0.006966313205236023
"(1, 45, 13, 26, 60, 7, 20)",0.012289308432579348,-0.010413156022227376,0.8698666439090005,-0.3529826843533656,0.004631190400552835,2.0,0.34408674886541585,-0.007658118032026512
"(1, 50, 13, 26, 60, 2, 20)",0.30984302327700614,0.008972670324628321,0.72865859165732,0.49099346012748474,-0.03999234923031756,4.0,-0.0889645725866389,-0.34983537250732366
"(1, 55, 13, 26, 60, 3, 30)",0.01750860626980856,-0.0036899758832912954,0.298305895817752,-0.18005115215016598,0.05249735188956848,4.0,0.9350373380987383,0.03498874561975992
"(1, 60, 13, 26, 60, 4, 30)",-0.053150761571343956,-0.0001843752258591852,0.38330304741109816,-0.0064930916900426735,-0.12604205226128531,3.0,0.9105008714763267,-0.07289129068994135
"(1, 65, 13, 26, 60, 11, 20)",-0.11988735590045274,0.010727272928913687,0.43485685491930465,0.8086666284690368,-0.11587783543333174,5.0,0.35920189064344804,0.004009520467120989
"(1, 65, 13, 26, 60, 8, 20)",-0.04076215994944169,0.0027757375875065602,0.2069093334810884,0.22836190032836765,-0.19624393640021784,5.0,0.916888131896028,-0.15548177645077615
"(1, 75, 13, 26, 60, 7, 30)",0.025843910424202077,-0.015323038907924724,0.5967565473997479,-0.4359261585387235,0.026542939157801444,2.0,0.6724896192131973,0.0006990287335993661
"(1, 90, 13, 26, 60, 1, 30)",0.03545003617475063,-0.017218129650740537,0.7852549624158586,-0.49278352454230495,0.015488438318712668,1.0,0.3719509588332213,-0.019961597856037957
"(1, 90, 13, 26, 60, 10, 20)",-0.29094371566823574,0.008700711818020289,0.8018324710433788,0.4426407424034717,-0.020170241606772103,4.0,0.05181506122937043,0.2707734740614636
"(1, 90, 13, 26, 60, 6, 20)",0.07327120878779698,-0.006756805340952017,0.8771058267459253,-0.35236833064676215,0.025362402079878346,2.0,0.3133194832602698,-0.04790880670791864
